0,"Vitamin C, total ascorbic acid"
1,"Thiamin"
2,"Riboflavin"
3,"Niacin"
4,"Pantothenic acid"
5,"Vitamin B-6"
6,"Folate, total"
7,"Folic acid"
8,"Folate, food"
9,"Folate, DFE"
10,"Choline, total"
11,"Betaine"
12,"Vitamin B-12"
13,"Vitamin B-12, added"
14,"Vitamin A, RAE"
15,"Retinol"
16,"Carotene, beta"
17,"Carotene, alpha"
18,"Cryptoxanthin, beta"
19,"Vitamin A, IU"
20,"Lycopene"
21,"Lutein + zeaxanthin"
22,"Vitamin E (alpha-tocopherol)"
23,"Vitamin E, added"
24,"Tocopherol, beta"
25,"Tocopherol, gamma"
26,"Tocopherol, delta"
27,"Vitamin D (D2 + D3)"
28,"Vitamin D3 (cholecalciferol)"
29,"Vitamin D"
30,"Vitamin K (phylloquinone)"
31,"Vitamin D2 (ergocalciferol)"
32,"Cyanidin(3)"
33,"Petunidin(3)"
34,"Delphinidin (3)"
35,"Malvidin(3)"
36,"Pelargonidin(3)"
37,"Peonidin(3)"
38,"(+)-Catechin(3)"
39,"(-)-Epigallocatechin(3)"
40,"(-)-Epicatechin(3)"
41,"(-)-Epicatechin 3-gallate(3)"
42,"(-)-Epigallocatechin 3-gallate(3)"
43,"(+)-Gallocatechin(3)"
44,"Hesperetin(3)"
45,"Naringenin(3)"
46,"Apigenin(3)"
47,"Luteolin(3)"
48,"Myricetin(3)"
49,"Quercetin(3)"
50,"Proanthocyanidin monomers(4)"
51,"Proanthocyanidin dimers(4)"
52,"Proanthocyanidin trimers(4)"
53,"Proanthocyanidin 4-6mers(4)"
54,"Proanthocyanidin 7-10mers(4)"
55,"Proanthocyanidin polymers (>10mers)(4)"
56,"Daidzein(3)"
57,"Genistein(3)"
58,"Total isoflavones(3)"
59,"Petunidin(4)"
60,"Delphinidin (4)"
61,"Malvidin(4)"
62,"Pelargonidin(4)"
63,"Peonidin(4)"
64,"(+)-Catechin(4)(5)(6)(7)"
65,"(-)-Epigallocatechin(4)(5)"
66,"(-)-Epicatechin(4)(5)(6)(7)"
67,"(-)-Epicatechin 3-gallate(4)(5)"
68,"(-)-Epigallocatechin 3-gallate(4)(5)"
69,"(+)-Gallocatechin(4)(5)"
70,"Hesperetin(4)"
71,"Naringenin(4)"
72,"Apigenin(4)(8)"
73,"Luteolin(4)(8)"
74,"Kaempferol(8)"
75,"Myricetin(4)(8)"
76,"Quercetin(4)(6)(7)(8)"
77,"Cyanidin(3)(4)(5)(6)(7)"
78,"(+)-Catechin(3)(4)(5)(6)"
79,"(-)-Epigallocatechin(4)"
80,"(-)-Epicatechin(3)(4)(5)(6)"
81,"(-)-Epicatechin 3-gallate(4)"
82,"(-)-Epigallocatechin 3-gallate(4)"
83,"(+)-Gallocatechin(4)"
84,"Quercetin(3)(4)(5)(6)(8)"
85,"Petunidin(5)"
86,"Delphinidin (4)(5)"
87,"Malvidin(5)"
88,"Pelargonidin(4)(5)"
89,"Peonidin(5)"
90,"(+)-Catechin(3)(5)(6)"
91,"(-)-Epigallocatechin(5)"
92,"(-)-Epicatechin(3)(5)(6)"
93,"(-)-Epicatechin 3-gallate(5)"
94,"(-)-Epigallocatechin 3-gallate(5)"
95,"(+)-Gallocatechin(5)"
96,"Hesperetin(5)"
97,"Naringenin(5)"
98,"Apigenin(4)(5)"
99,"Luteolin(4)(5)"
100,"Myricetin(4)(5)"
101,"Quercetin(3)(4)(5)(6)"
102,"Proanthocyanidin monomers(2)"
103,"Proanthocyanidin dimers(2)"
104,"Proanthocyanidin trimers(2)"
105,"Proanthocyanidin 4-6mers(2)"
106,"Proanthocyanidin 7-10mers(2)"
107,"Proanthocyanidin polymers (>10mers)(2)"
